id,name,class,city,origin,updated_at,created_at
56,Ogre,class-indica,,,1361781201,1491560745
411,Ogre Kush,class-indica,,,1408989491,1491566886
883,Orange Crush,class-sativa,,,1408989669,1417516623
94,Orange Kush,class-hybrid,,,1361781204,1408989501
218,Oregon Kid Blackberry Kush,class-indica,"Seattle, Washington","47.6129432,-122.4821475",1361781261,1491561673
134,Permafrost,class-hybrid,,,1361781212,1491566333
113,Phantom Cookies,class-hybrid,"Los Angeles, California","33.9875499,-118.4792248",1361781208,1491564032
81,Phishhead Kush,class-hybrid,"Denver, Colorado","39.751058,-105.002062",1361781203,1491564439
186,Pineapple,class-sativa,"Los Angeles, California","33.9875499,-118.4792248",1361781228,1491562949
292,Pineapple Express,class-sativa,,"Hawaii, U.S.",1361781887,1491562655
412,Pineapple Skunk,class-hybrid,"Eureka, California","40.782124,-124.158391",1408989491,1417515383
265,Platinum Kush,class-indica,"Seattle, Washington","47.6129432,-122.4821475",1361781522,1491565687
350,Platinum OG,class-hybrid,"Los Angeles, California","33.9875499,-118.4792248",1361785451,1446822756
12,Plum,class-hybrid,,,1361781198,1417516946
571,Plushberry,class-indica,"Seattle, Washington","47.6129432,-122.4821475",1408989544,1417520981
539,Pot of Gold,class-indica,,,1408989532,1459432297
551,Power Plant,class-sativa,,,1408989536,1417520578
347,Presidential OG,class-hybrid,"Los Angeles, California","33.9875499,-118.4792248",1361784983,1417523143
104,Private Reserve,class-indica,"Los Angeles, California","33.9875499,-118.4792248",1361781205,1491563155
45,Pure Kush,class-indica,,,1361781200,1491562930
229,Purple Diesel,class-hybrid,,,1361781289,1417522307
192,Purple Haze,class-sativa,,,1361781231,1491561209
397,Purple Kush,class-indica,,,1408989485,1491567633
261,Purple Nepal,class-indica,,,1361781477,1417524152
421,Purple Trainwreck,class-hybrid,,,1408989494,1417519045
668,Purple Urkle,class-hybrid,,,1408989587,1417522186
110,Purple Voodoo,class-hybrid,,,1361781206,1491562729
24,Querkle,class-hybrid,,,1361781199,1491563025
413,Red Diesel,class-hybrid,,,1408989491,1491567579
415,Red Dragon,class-hybrid,,,1408989492,1459689283
235,Red Stem Afghani,class-indica,"Kabul, Afghanistan","34.5539097,69.057646",1361781314,1417520689
109,Romulan,class-indica,"Toronto, Canada","43.6570321,-79.6010342",1361781206,1491563848
427,Royal Kush,class-indica,,,1408989495,1491566038
914,Sage,class-hybrid,,,1408989681,1417517117
434,Sensi Star,class-indica,,,1408989497,1417519205
849,SFV OG Kush,class-hybrid,,,1408989655,1417516088
839,Sharks Breath,class-indica,"Toronto, Canada","43.6570321,-79.6010342",1408989652,1491562968
31,Shiva,class-sativa,,,1361781199,1491563231
517,Shiva Skunk,class-hybrid,"Amsterdam, Netherlands","52.3710755,4.8723518",1408989524,1491559579
161,Silver Haze,class-hybrid,,,1361781219,1491564736
154,Silver Sufer,class-hybrid,,,1361781216,1491563568
944,Skunk,class-sativa,,,1408989691,1417517500
143,Skunkberry,class-hybrid,,,1361781214,1491563475
362,Skywalker,class-hybrid,,,1361786767,1417518944
29,Skywalker OG,class-indica,,,1361781199,1446029856
505,Snow Cap Strain,class-sativa,"Los Angeles, California","33.9875499,-118.4792248",1408989519,1417520007
39,Sour Apple,class-sativa,"Los Angeles, California","33.9875499,-118.4792248",1361781199,1491564402
80,Sour Bubble,class-hybrid,,,1361781202,1491562673
28,Sour Cheese,class-hybrid,,,1361781199,1491565136
385,Sour Diesel,class-sativa,,,1395078594,1417516613
901,Sour Grape,class-indica,,,1408989676,1417516895
408,Sour Kush,class-hybrid,,,1408989490,1417515333
90,Sour Mango,class-hybrid,,,1361781203,1491563549
190,Sour OG,class-hybrid,,,1361781230,1450351453
2,Space Bomb,class-hybrid,,,1361781198,1491561894
477,Space Queen,class-hybrid,,,1408989511,1491563043
98,Strawberry Cough,class-indica,,,1361781204,1491567288
460,Strawberry Diesel,class-indica,"Los Angeles, California","33.9875499,-118.4792248",1408989505,1417515535
215,Strawberry Diesel,class-hybrid,,,1361781260,1491563922
414,Strawberry Haze,class-sativa,"Amsterdam, Netherlands","52.3710755,4.8723518",1408989492,1446029609
72,Strawberry Ice,class-hybrid,,,1361781202,1491562803
92,Strawberry Kush,class-indica,,,1361781203,1491565447
379,Sugar Kush,class-hybrid,,,1387216743,1417522418
